Merkmal_ID;Merkmalbezeichnung;Datentyp;Klassifikationssystem_ID
AAA358f001;Farbe;alphanumerisch;pc-6.1
AAA002f001;Länge;numerisch;pc-6.1
EAB141f001;Gliederstärke;numerisch;pc-6.1
AAA003f001;Gewicht;numerisch;pc-6.1
AAA031f001;Höhe;numerisch;pc-6.1
AAA081f001;Gesamtlänge;numerisch;pc-6.1
AAA026f001;Ausführung;alphanumerisch;pc-6.1
AAB435f001;Befestigungsart;alphanumerisch;pc-6.1
EAB663f001;Höhe über Flur;numerisch;pc-6.1
AAB223f001;Material;alphanumerisch;pc-6.1
AAA032f001;Durchmesser;numerisch;pc-6.1
AAA040f001;Breite;numerisch;pc-6.1
AAB358f001;Gesamtbreite;numerisch;pc-6.1
AAB996f001;Materialzusammensetzung;alphanumerisch;pc-6.1
AAB748f001;Materialgewicht;numerisch;pc-6.1
AAA984f001;Geschlecht;alphanumerisch;pc-6.1
AAB132f001;Größe (EUR);numerisch;pc-6.1
AAB133f001;Größe (USA);alphanumerisch;pc-6.1
AAA022f001;Größe;alphanumerisch;pc-6.1
AAA990f001;Abriebfestigkeit nach EN 530 M2;numerisch;pc-6.1
AAA992f001;Berstfestigkeit nach ISO 2960;numerisch;pc-6.1
AAA480f001;Einweg;logisch;pc-6.1
AAA993f001;Nahtstärke nach ISO 5082;numerisch;pc-6.1
AAA991f001;Trapezreißfestigkeit nach ISO 9073-4;numerisch;pc-6.1
AAA994f001;Antistatisch nach EN 1149-1;logisch;pc-6.1
AAA702f001;Norm;alphanumerisch;pc-6.1
AAA996f001;Waschbar;logisch;pc-6.1
AAA498f001;Befestigung;alphanumerisch;pc-6.1
EAA890f001;Elektrooptisch;logisch;pc-6.1
AAA495f001;Schutzstufe nach DIN/EN;numerisch;pc-6.1
AAA496f001;Sichtscheibenklasse;numerisch;pc-6.1
AAA497f001;Verwendungsbereich nach EN 166;alphanumerisch;pc-6.1
EAA887f001;Sichtscheibenmaterial;alphanumerisch;pc-6.1
EAA888f001;Sichtscheibenfarbe;alphanumerisch;pc-6.1
EAA889f001;Schweißerschutzbrille;logisch;pc-6.1
AAA036f001;Dicke;numerisch;pc-6.1
AAB831f001;Max. Temperatur;numerisch;pc-6.1
AAA196f001;Typ;alphanumerisch;pc-6.1
EAA891f001;Einlage;logisch;pc-6.1
AAA973f001;Geschlossen;logisch;pc-6.1
EAA892f001;Beschichtung;logisch;pc-6.1
AAB753f001;Materialbindung;alphanumerisch;pc-6.1
AAA765f001;Schutzkategorie;alphanumerisch;pc-6.1
AAA766f001;Zusätzliche Schutzfunktion;alphanumerisch;pc-6.1
AAA767f001;Damen/Herren;alphanumerisch;pc-6.1
AAA768f001;Obermaterial;alphanumerisch;pc-6.1
AAA769f001;Futtermaterial;alphanumerisch;pc-6.1
AAA770f001;Sohle;alphanumerisch;pc-6.1
AAA771f001;Brandsohle;alphanumerisch;pc-6.1
AAA772f001;Verschlussart;alphanumerisch;pc-6.1
AAA706f001;Min. Größe;numerisch;pc-6.1
AAA707f001;Max. Größe;numerisch;pc-6.1
AAA773f001;Mit Spitzenschutz/Überkappe;logisch;pc-6.1
AAA197f001;Inhalt;numerisch;pc-6.1
EAC409f001;Farbneutral;logisch;pc-6.1
AAA704f001;Mit Lebensmittelzulassung;logisch;pc-6.1
EAE223f001;Profilierung;logisch;pc-6.1
AAA339f001;Anwendungsbereich;alphanumerisch;pc-6.1
AAB602f001;Beschichtungsstärke;numerisch;pc-6.1
AAA711f001;Innenausführung;alphanumerisch;pc-6.1
AAA708f001;Penetration;numerisch;pc-6.1
AAA710f001;Kennzeichnung mit Piktogramm;logisch;pc-6.1
AAA719f001;Gepudert;logisch;pc-6.1
AAA720f001;Stulpenende mit Rollrand;logisch;pc-6.1
AAA406f001;Kategorie;alphanumerisch;pc-6.1
AAB619f001;Klasse;alphanumerisch;pc-6.1
AAA709f001;Profilierung;alphanumerisch;pc-6.1
AAA351f001;Gewicht pro Meter;numerisch;pc-6.1
EAB116f001;Max. Hitzeschutz;numerisch;pc-6.1
EAB697f001;Mit Isolation;logisch;pc-6.1
AAA722f001;Anatomische Form;logisch;pc-6.1
AAA721f001;Steril;logisch;pc-6.1
AAA723f001;Reinraumklasse;numerisch;pc-6.1
AAB596f001;Anzahl der Finger;numerisch;pc-6.1
AAA405f001;Beschichtung;alphanumerisch;pc-6.1
AAA703f001;Beschichtungsstärke (Schutzhandschuh mechanisch);alphanumerisch;pc-6.1
AAA716f001;Mit Futter;logisch;pc-6.1
AAA715f001;Kontaktkälte;alphanumerisch;pc-6.1
AAA714f001;Kontaktwärme;alphanumerisch;pc-6.1
AAA712f001;Schweißerarbeiten;logisch;pc-6.1
AAA713f001;Strahlungswärme;alphanumerisch;pc-6.1
AAA377f001;Mit Strickbund;logisch;pc-6.1
AAA718f001;Ozonbrüchigkeit;numerisch;pc-6.1
AAA717f001;Wasserdampfdurchlässigkeit;numerisch;pc-6.1
EAD486f001;Universalgröße;logisch;pc-6.1
AAB757f001;Max. Strahlungshitze;numerisch;pc-6.1
AAC081f001;Größe;numerisch;pc-6.1
AAA407f001;Stärke;numerisch;pc-6.1
AAB754f001;Anzahl der Kugelknöpfe;numerisch;pc-6.1
EAC427f001;Gesichtsschutzvisier schwenkbar;logisch;pc-6.1
AAA308f001;Verstellbar;logisch;pc-6.1
AAA445f001;Mit Kabelhalter;logisch;pc-6.1
AAA444f001;Lampenhalter;logisch;pc-6.1
AAA499f001;Mit Nackenteil;logisch;pc-6.1
EAC401f001;Dreilochhaube;logisch;pc-6.1
AAA526f001;Waldarbeiterset;alphanumerisch;pc-6.1
EAB575f001;Mit Klappschnalle;logisch;pc-6.1
AAA388f001;Waschbar bis;numerisch;pc-6.1
AAA442f001;MIt Nierenschutz;logisch;pc-6.1
EAC407f001;Einheitsgröße;logisch;pc-6.1
AAB148f001;Sohle rutschfest;logisch;pc-6.1
AAA504f001;DIN-Stempel;logisch;pc-6.1
